chord_symbol,voice_index,note_name,midi
EbmMaj7,2,Bb3,58
EbmMaj7,3,D4,62
Ebmaj11,0,Eb3,51
Ebmaj11,1,G3,55
Ebmaj11,2,Bb3,58
Ebmaj11,3,D4,62
Ebmaj11,4,F4,65
Ebmaj11,5,Ab4,68
Ebmaj13,0,Eb3,51
Ebmaj13,1,G3,55
Ebmaj13,2,Bb3,58
Ebmaj13,3,D4,62
Ebmaj13,4,F4,65
Ebmaj13,5,Ab4,68
Ebmaj13,6,C4,60
Ebmaj13#11,0,Eb3,51
Ebmaj13#11,1,G3,55
Ebmaj13#11,2,Bb3,58
Ebmaj13#11,3,D4,62
Ebmaj13#11,4,F4,65
Ebmaj13#11,5,A4,69
Ebmaj13#11,6,C4,60
Ebmaj7#11,0,Eb3,51
Ebmaj7#11,1,G3,55
Ebmaj7#11,2,Bb3,58
Ebmaj7#11,3,D4,62
Ebmaj7#11,4,A4,69
Ebmaj9,0,Eb3,51
Ebmaj9,1,G3,55
Ebmaj9,2,Bb3,58
Ebmaj9,3,D4,62
Ebmaj9,4,F4,65
Ebmaj9#11,0,Eb3,51
Ebmaj9#11,1,G3,55
Ebmaj9#11,2,Bb3,58
Ebmaj9#11,3,D4,62
Ebmaj9#11,4,F4,65
Ebmaj9#11,5,A4,69
Ebsus2,0,Eb3,51
Ebsus2,1,F4,65
Ebsus2,2,Bb3,58
Ebsus4,0,Eb3,51
Ebsus4,1,Ab3,56
Ebsus4,2,Bb3,58
Edim,0,E3,52
Edim,1,G3,55
Edim,2,A#3,58
Edim7,0,E3,52
Edim7,1,G3,55
Edim7,2,A#3,58
Edim7,3,C#4,61
Em,0,E3,52
Em,1,G3,55
Em,2,B3,59
Em11,0,E3,52
Em11,1,G3,55
Em11,2,B3,59
Em11,3,D4,62
Em11,4,F#4,66
Em11,5,A4,69
Em13,0,E3,52
Em13,1,G3,55
Em13,2,B3,59
Em13,3,D4,62
Em13,4,F#4,66
Em13,5,A4,69
Em13,6,C#4,61
Em6,0,E3,52
Em6,1,G3,55
Em6,2,B3,59
Em6,3,C#4,61
Em7,0,E3,52
Em7,1,G3,55
Em7,2,B3,59
Em7,3,D4,62
Em7b5,0,E3,52
Em7b5,1,G3,55
Em7b5,2,A#3,58
Em7b5,3,D4,62
Em9,0,E3,52
Em9,1,G3,55
Em9,2,B3,59
Em9,3,D4,62
Em9,4,F#4,66
EmMaj7,0,E3,52
EmMaj7,1,G3,55
EmMaj7,2,B3,59
EmMaj7,3,D#4,63
Emaj11,0,E3,52
Emaj11,1,G#3,56
Emaj11,2,B3,59
Emaj11,3,D#4,63
Emaj11,4,F#4,66
Emaj11,5,A4,69
Emaj13,0,E3,52
Emaj13,1,G#3,56
Emaj13,2,B3,59
Emaj13,3,D#4,63
Emaj13,4,F#4,66
Emaj13,5,A4,69
Emaj13,6,C#4,61
Emaj13#11,0,E3,52
Emaj13#11,1,G#3,56
Emaj13#11,2,B3,59
Emaj13#11,3,D#3,51
Emaj13#11,4,F#4,66
Emaj13#11,5,A#4,70
Emaj13#11,6,C#4,61
Emaj7#11,0,E3,52
Emaj7#11,1,G#3,56
Emaj7#11,2,B3,59
Emaj7#11,3,D#3,51
Emaj7#11,4,A#4,70
Emaj9,0,E3,52
Emaj9,1,G#3,56
Emaj9,2,B3,59
Emaj9,3,D#4,63
Emaj9,4,F#4,66
Emaj9#11,0,E3,52
Emaj9#11,1,G#3,56
Emaj9#11,2,B3,59
Emaj9#11,3,D#3,51
Emaj9#11,4,F#4,66
Emaj9#11,5,A#4,70
Esus2,0,E3,52
Esus2,1,F#3,54
Esus2,2,B3,59
Esus4,0,E3,52
Esus4,1,A3,57
Esus4,2,B3,59
F,0,F3,53
F,1,A3,57
F,2,C4,60
F#,0,F#3,54
F#,1,A#3,58
F#,2,C#4,61
F#/A#,0,A#3,58
F#/A#,1,C#4,61
F#/A#,2,F#4,66
F#/C#,0,C#3,49
F#/C#,1,F#3,54
F#/C#,2,A#3,58
F#11,0,F#3,54
F#11,1,A#3,58
F#11,2,C#4,61
F#11,3,E4,64
F#11,4,G#4,68
F#11,5,B4,71
F#13,0,F#3,54
F#13,1,A#3,58
F#13,2,C#4,61
F#13,3,E4,64
F#13,4,G#4,68
F#13,5,B4,71
F#13,6,D#4,63
F#13#11,0,F#3,54
F#13#11,1,A#3,58
F#13#11,2,C#4,61
F#13#11,3,E4,64
F#13#11,4,G#4,68
F#13#11,5,C4,60
F#13#11,6,D#4,63
F#13#9,0,F#3,54
F#13#9,1,A#3,58
F#13#9,2,C#4,61
F#13#9,3,E4,64
F#13#9,4,A4,69
F#13#9,5,B4,71
F#13#9,6,D#4,63
F#13b9,0,F#3,54
F#13b9,1,A#3,58
F#13b9,2,C#4,61
F#13b9,3,E4,64
F#13b9,4,F4,65
F#13b9,5,B4,71
F#13b9,6,D#4,63
F#13sus4,0,F#3,54
F#13sus4,1,B3,59
F#13sus4,2,C#4,61
F#13sus4,3,E4,64
F#13sus4,4,G#4,68
F#13sus4,5,B4,71
F#13sus4,6,D#4,63
F#6,0,F#3,54
F#6,1,A#3,58
F#6,2,C#4,61
F#6,3,D#4,63
F#7,0,F#3,54
F#7,1,A#3,58
F#7,2,C#4,61
F#7,3,E4,64
F#7#5#9,0,F#3,54
F#7#5#9,1,A#3,58
F#7#5#9,2,D4,62
F#7#5#9,3,E4,64
F#7#5#9,4,A4,69
F#7alt,0,F#3,54
F#7alt,1,A#3,58
F#7alt,2,C4,60
F#7alt,3,E4,64
F#7alt,4,F4,65
F#7alt,5,G4,67
F#7sus2,0,F#3,54
F#7sus2,1,G#3,56
F#7sus2,2,C#4,61
F#7sus2,3,E4,64
F#7sus4,0,F#3,54
F#7sus4,1,B3,59
F#7sus4,2,C#4,61
F#7sus4,3,E4,64
F#9,0,F#3,54
F#9,1,A#3,58
F#9,2,C#4,61
F#9,3,E4,64
F#9,4,G#4,68
F#9#5,0,F#3,54
F#9#5,1,A#3,58
F#9#5,2,D4,62
F#9#5,3,E4,64
F#9#5,4,G#4,68
F#9b5,0,F#3,54
F#9b5,1,A#3,58
F#9b5,2,C4,60
F#9b5,3,E4,64
F#9b5,4,G#4,68
F#Maj7,0,F#3,54
F#Maj7,1,A#3,58
F#Maj7,2,C#4,61
F#Maj7,3,F4,65
F#aug,0,F#3,54
F#aug,1,A#3,58
F#aug,2,D4,62
F#aug7,0,F#3,54
F#aug7,1,A#3,58
F#aug7,2,D4,62
F#aug7,3,E4,64
F#dim,0,F#3,54
F#dim,1,A3,57
F#dim,2,C4,60
F#dim7,0,F#3,54
F#dim7,1,A3,57
F#dim7,2,C4,60
F#dim7,3,E4,64
F#m,0,F#3,54
F#m,1,A3,57
F#m,2,C#4,61
F#m11,0,F#3,54
F#m11,1,A3,57
F#m11,2,C#4,61
F#m11,3,E4,64
F#m11,4,G#4,68
F#m11,5,B4,71
F#m13,0,F#3,54
F#m13,1,A3,57
F#m13,2,C#4,61
F#m13,3,E4,64
F#m13,4,G#4,68
F#m13,5,B4,71
F#m13,6,D#4,63
F#m6,0,F#3,54
F#m6,1,A3,57
F#m6,2,C#4,61
F#m6,3,D#4,63
F#m7,0,F#3,54
F#m7,1,A3,57
F#m7,2,C#4,61
F#m7,3,E4,64
F#m7b5,0,F#3,54
F#m7b5,1,A3,57
F#m7b5,2,C4,60
F#m7b5,3,E4,64
F#m9,0,F#3,54
F#m9,1,A3,57
F#m9,2,C#4,61
F#m9,3,E4,64
F#m9,4,G#4,68
F#mMaj7,0,F#3,54
F#mMaj7,1,A3,57
F#mMaj7,2,C#4,61
F#mMaj7,3,F4,65
F#maj11,0,F#3,54
F#maj11,1,A#3,58
F#maj11,2,C#4,61
F#maj11,3,F4,65
F#maj11,4,G#4,68
F#maj11,5,B4,71
F#maj13,0,F#3,54
F#maj13,1,A#3,58
F#maj13,2,C#4,61
F#maj13,3,F4,65
F#maj13,4,G#4,68
F#maj13,5,B4,71
F#maj13,6,D#4,63
F#maj13#11,0,F#3,54
F#maj13#11,1,A#3,58
F#maj13#11,2,C#4,61
F#maj13#11,3,F4,65
F#maj13#11,4,G#4,68
F#maj13#11,5,B4,71
F#maj13#11,6,D#4,63
F#maj7#11,0,F#3,54
F#maj7#11,1,A#3,58
F#maj7#11,2,C#4,61
F#maj7#11,3,F4,65
F#maj7#11,4,C#5,73
F#maj9,0,F#3,54
F#maj9,1,A#3,58
